plan_order,wave,wave_name,batch,batch_name,chunk,risk,date,short_sha,sha,author,subject,rationale,top_dirs,files_changed,insertions,deletions,goal,validation,commit_url,new_in_revision
230,6,Features & Enhancements,6E,General Product Features,6E-02,low,2026-03-22,9a306ddb9a,9a306ddb9ab9ee6ecb0ad17171f317a711540b26,Charles Bochet,feat: store SSO connections as connected accounts during sign-in (#18825),feature,"packages/twenty-server (14), packages/twenty-front (4), packages/twenty-shared (1)",19,487,114,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/9a306ddb9ab9ee6ecb0ad17171f317a711540b26,yes
231,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-24,69fe6fcadd,69fe6fcadd3c0895dd86d1b525c5f90210d6fbe9,Charles Bochet,chore: add explicit return type to getBackgroundColor (#18878),feature,".github (1), packages/twenty-ui (1)",2,6,1,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/69fe6fcadd3c0895dd86d1b525c5f90210d6fbe9,yes
232,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-24,98c21f958a,98c21f958afabf45110fc3522e80373e8d791905,martmull,Add twenty-sdk-client to deployed packages unique version check (#18933),feature,packages/twenty-utils (1),1,1,1,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/98c21f958afabf45110fc3522e80373e8d791905,yes
233,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-25,4a099ed097,4a099ed097a19d2bd028d4b566db2cf3b35f675f,Abdul Rahman,Use side panel sub-pages for add-to-folder flow (#18872),feature,packages/twenty-front (41),41,289,284,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/4a099ed097a19d2bd028d4b566db2cf3b35f675f,yes
234,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-25,895bb58fc6,895bb58fc6f982fc268a11004e5978bf98bdf01f,Félix Malfait,feat: add S3 presigned URL redirect for file downloads (#18864),feature,"packages/twenty-server (17), packages/twenty-docker (2), packages/twenty-docs (1)",20,550,47,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/895bb58fc6f982fc268a11004e5978bf98bdf01f,yes
235,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-25,d47ddad4c5,d47ddad4c5595f135229ceb252f4f7149fd7dd96,Thomas Trompette,Add multiselect option to form step (#18979),feature,"packages/twenty-front (8), packages/twenty-shared (1)",9,46,13,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/d47ddad4c5595f135229ceb252f4f7149fd7dd96,yes
236,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-26,c3a3cf9c67,c3a3cf9c67adc62b545d80b794404c88ddf696c2,Marie,[Apps SDK] Add error message if relationType is missing (#19006),feature,"packages/twenty-server (3), packages/twenty-sdk (2)",5,253,6,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/c3a3cf9c67adc62b545d80b794404c88ddf696c2,yes
237,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-27,cd2e08b912,cd2e08b91227bcd9e401cb1fc797fdfcf709685f,Félix Malfait,Enforce workspace count limit for multi-workspace setups (#19036),feature,packages/twenty-server (3),3,29,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/cd2e08b91227bcd9e401cb1fc797fdfcf709685f,yes
238,6,Features & Enhancements,6E,General Product Features,6E-03,medium,2026-03-28,c407341912,c407341912ac0d65b3cbe4df40fd8448c7c0ac2f,Charles Bochet,feat: optimize hot database queries with multi-layer caching (#19068),feature,packages/twenty-server (69),69,1428,559,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/c407341912ac0d65b3cbe4df40fd8448c7c0ac2f,yes
239,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-30,8fa3962e1c,8fa3962e1c905595c4005847175ffc62d49c1d74,Félix Malfait,feat: add resumable stream support for agent chat (#19107),feature,"packages/twenty-server (16), packages/twenty-front (5), .github (1), yarn.lock (1)",23,981,281,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/8fa3962e1c905595c4005847175ffc62d49c1d74,yes
240,6,Features & Enhancements,6E,General Product Features,6E-03,low,2026-03-31,287fe90ce9,287fe90ce9e2f3e37dc5f1b94d386dc06e8e7346,Weiko,Add link to workspace members index view page from the settings (#19164),feature,packages/twenty-front (1),1,61,4,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/287fe90ce9e2f3e37dc5f1b94d386dc06e8e7346,yes
241,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-03-31,887e0283c5,887e0283c5250a1e1a8b8f3099ab0e6e9050f875,Etienne,Direct execution - Follow up (#19177),feature,"packages/twenty-front (17), packages/twenty-server (7), packages/twenty-shared (2)",26,314,161,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/887e0283c5250a1e1a8b8f3099ab0e6e9050f875,yes
242,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-03-31,ee3ebd0ca0,ee3ebd0ca015cb3c26f3df333c9dc2ef52772691,Charles Bochet,"Add ""search"" to reserved metadata name keywords (#19181)",feature,packages/twenty-shared (1),1,2,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/ee3ebd0ca015cb3c26f3df333c9dc2ef52772691,yes
243,6,Features & Enhancements,6E,General Product Features,6E-04,medium,2026-04-02,fd7387928c,fd7387928c00831dd1dfec5dfb46caf31c2a1e96,Félix Malfait,feat: queue messages + replace AI SDK with GraphQL SSE subscription (#19203),feature,"packages/twenty-front (44), packages/twenty-server (28), packages/twenty-client-sdk (3), packages/twenty-shared (3)",79,2606,1417,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/fd7387928c00831dd1dfec5dfb46caf31c2a1e96,yes
244,6,Features & Enhancements,6E,General Product Features,6E-04,medium,2026-04-02,81f10c586f,81f10c586fe8aee3090809cf23095f856b6dcad8,Charles Bochet,Add workspace DDL lock env var and maintenance mode UI (#19130),feature,"packages/twenty-front (44), packages/twenty-server (28), packages/twenty-client-sdk (3), packages/twenty-ui (2)",78,2342,712,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/81f10c586fe8aee3090809cf23095f856b6dcad8,yes
245,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-04-02,a303d9ca1b,a303d9ca1b96abe11149321f80911955058eaeab,Etienne,Gql direct execution - Handle introspection queries (#19219),feature,packages/twenty-server (17),17,656,610,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/a303d9ca1b96abe11149321f80911955058eaeab,yes
246,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-04-02,e1caf6caa1,e1caf6caa10b02f9ed6edd03a9b3204308f59cd1,Charles Bochet,Add datasource migration and connected account feature flag (#19268),feature,packages/twenty-server (1),1,5,2,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/e1caf6caa10b02f9ed6edd03a9b3204308f59cd1,yes
247,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-04-02,c1e4756f9c,c1e4756f9cdb2f758508d587972777f5e0392041,Weiko,Add is active to overridable entities and deactivation logic for page layouts (#19200),feature,"packages/twenty-server (33), packages/twenty-shared (2)",35,391,285,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/c1e4756f9cdb2f758508d587972777f5e0392041,yes
248,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-04-02,7f2b853ae1,7f2b853ae160ca6071450840bf20b840bb7570f2,Abdul Rahman,feat: add message compaction for AI chats (#19205),feature,"packages/twenty-server (7), packages/twenty-front (3), packages/twenty-shared (1)",11,146,15,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/7f2b853ae160ca6071450840bf20b840bb7570f2,yes
249,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-04-02,5022bf03ba,5022bf03ba496e24a94d51ceff8a22252d7920c2,Félix Malfait,Add AI as a public feature flag in the Lab (#19277),feature,"packages/twenty-server (1), packages/twenty-website (1)",2,8,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/5022bf03ba496e24a94d51ceff8a22252d7920c2,yes
250,6,Features & Enhancements,6E,General Product Features,6E-04,low,2026-04-03,90597e47ca,90597e47ca9310e7d45f7a6bd86708977d68b259,Thomas Trompette,Add redis cache for cron triggers (#19306),feature,packages/twenty-server (10),10,692,42,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/90597e47ca9310e7d45f7a6bd86708977d68b259,yes
251,6,Features & Enhancements,6E,General Product Features,6E-05,low,2026-04-04,80c5cfc2ec,80c5cfc2ece68bc24632b25330d19d13f4747ece,martmull,Add npm packages app settings list (#19324),feature,"packages/twenty-front (4), packages/twenty-client-sdk (2), packages/twenty-server (2), packages/twenty-shared (1)",10,196,55,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/80c5cfc2ece68bc24632b25330d19d13f4747ece,yes
252,6,Features & Enhancements,6E,General Product Features,6E-05,medium,2026-04-07,83d30f8b76,83d30f8b76265397d945b44af73929cdb62b5ff7,Félix Malfait,feat: Send email from UI — inline reply composer & SendEmail mutation (#19363),feature,"packages/twenty-front (37), packages/twenty-server (26), packages/twenty-client-sdk (3), .github (1)",68,2464,577,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/83d30f8b76265397d945b44af73929cdb62b5ff7,yes
253,6,Features & Enhancements,6F,Extended Features,6F-01,medium,2026-03-04,845a1934d3,845a1934d302d8d7e144e1e7857386aa91999188,Paul Rastoin,Tt call recording app (#18281),noncore_feature,"packages/twenty-apps (47), packages/twenty-companion (30), packages/twenty-front (12), packages/twenty-server (7)",103,31146,58,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/845a1934d302d8d7e144e1e7857386aa91999188,yes
254,6,Features & Enhancements,6F,Extended Features,6F-01,high,2026-03-05,0e89c96170,0e89c96170e9d003307b9746b6a58802c10c28bf,Félix Malfait,feat: add npm and tarball app distribution with upgrade mechanism (#18358),noncore_feature,"packages/twenty-server (166), packages/twenty-front (27), packages/twenty-sdk (8), packages/twenty-apps (2)",205,4739,1012,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/0e89c96170e9d003307b9746b6a58802c10c28bf,yes
255,6,Features & Enhancements,6F,Extended Features,6F-01,low,2026-03-05,4cfd738312,4cfd738312c249fb72b921ec394aa6ca013e9be1,nitin,Headless action modal (#18270),noncore_feature,"packages/twenty-sdk (14), packages/twenty-front (8), .vscode (1)",23,429,15,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/4cfd738312c249fb72b921ec394aa6ca013e9be1,yes
256,6,Features & Enhancements,6F,Extended Features,6F-01,low,2026-03-05,abd9709291,abd9709291e123be18a925832e9c9200b65a80bd,Raphaël Bosi,Update Command Menu Item entity (#18391),noncore_feature,"packages/twenty-server (15), packages/twenty-front (3), packages/twenty-shared (1)",19,163,27,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/abd9709291e123be18a925832e9c9200b65a80bd,yes
257,6,Features & Enhancements,6F,Extended Features,6F-01,medium,2026-03-05,2a82df7073,2a82df707324d903d862d66a19cb1708941abb69,Lucas Bordeau,AI tools to create a demo workspace (#18236),noncore_feature,"packages/twenty-front (62), packages/twenty-server (17), packages/twenty-shared (3), packages/twenty-ui (2)",84,2449,315,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/2a82df707324d903d862d66a19cb1708941abb69,yes
258,6,Features & Enhancements,6F,Extended Features,6F-01,low,2026-03-05,57499342f1,57499342f1851899c9423f61bab1ba93a75e8480,Baptiste Devessier,Set widget position's type according to parent tab (#18411),noncore_feature,packages/twenty-front (2),2,135,17,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/57499342f1851899c9423f61bab1ba93a75e8480,yes
259,6,Features & Enhancements,6F,Extended Features,6F-01,low,2026-03-09,06bdb5ad6a,06bdb5ad6a9f5668f80032a9b46552845ad1fcb9,Paul Rastoin,`[SDK]` Agent in manifest (#18431),noncore_feature,"packages/twenty-sdk (10), packages/twenty-server (5), packages/create-twenty-app (4), packages/twenty-shared (4)",24,476,5,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/06bdb5ad6a9f5668f80032a9b46552845ad1fcb9,yes
260,6,Features & Enhancements,6F,Extended Features,6F-01,low,2026-03-09,309fd7a526,309fd7a5263cba2e454f609c0e9fdb03c8694cf4,Baptiste Devessier,feat: unpin action (#18505),noncore_feature,packages/twenty-front (1),1,11,11,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/309fd7a5263cba2e454f609c0e9fdb03c8694cf4,yes
261,6,Features & Enhancements,6F,Extended Features,6F-01,medium,2026-03-09,c433b2b73f,c433b2b73fb3f98826fbf62d0e4f8f0b43d444d1,Weiko,Implement page layout override (#18472),noncore_feature,"packages/twenty-server (49), packages/twenty-front (38), packages/twenty-sdk (3)",90,1270,57,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/c433b2b73fb3f98826fbf62d0e4f8f0b43d444d1,yes
262,6,Features & Enhancements,6F,Extended Features,6F-01,low,2026-03-10,6995420b71,6995420b71a21a5bca03a3b40a11ca4cfe169d6c,Félix Malfait,Remove IS_APPLICATION_INSTALLATION_FROM_TARBALL_ENABLED feature flag (#18520),noncore_feature,"packages/twenty-server (3), packages/twenty-sdk (2), packages/twenty-front (1), packages/twenty-shared (1)",7,1,48,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/6995420b71a21a5bca03a3b40a11ca4cfe169d6c,yes
263,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-10,1656bb5568,1656bb556894083d1bab40bec70cf177b17539fb,Arun,[Feat] : add source to actor fields (#18118),noncore_feature,"packages/twenty-front (4), packages/twenty-shared (2), packages/twenty-server (1)",7,154,9,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/1656bb556894083d1bab40bec70cf177b17539fb,yes
264,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-10,926dd545f4,926dd545f46b7bef4d3f856f64e36ebf92d98973,Baptiste Devessier,Create fake hidden fields group (#18525),noncore_feature,"packages/twenty-front (18), packages/twenty-sdk (3), packages/twenty-server (1), packages/twenty-shared (1)",23,1110,22,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/926dd545f46b7bef4d3f856f64e36ebf92d98973,yes
265,6,Features & Enhancements,6F,Extended Features,6F-02,high,2026-03-10,2de022afcf,2de022afcfbc9b6776e111b5636773f6eac9462d,Raphaël Bosi,Add standard command menu items (#18527),noncore_feature,"packages/twenty-standard-application (184), packages/twenty-sdk (20), packages/twenty-server (19), packages/twenty-shared (11)",252,10969,250,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/2de022afcfbc9b6776e111b5636773f6eac9462d,yes
266,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-11,7fb8cc1c39,7fb8cc1c3984b875097d6761da08539e9df8cea9,Félix Malfait,Improve apps settings UI and remove unused tarball upload code (#18549),noncore_feature,packages/twenty-front (6),6,114,329,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/7fb8cc1c3984b875097d6761da08539e9df8cea9,yes
267,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-11,00c3cd1051,00c3cd10510bbc56e69f6811b62e7bfb2e0b31a2,Weiko,Add system view fallback (#18536),noncore_feature,"packages/twenty-front (30), packages/twenty-server (1)",31,343,37,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/00c3cd10510bbc56e69f6811b62e7bfb2e0b31a2,yes
268,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-11,ef92d2d321,ef92d2d321f92eb202a6ec829f559adaa37c748a,Weiko,Backfill standard views command (#18540),noncore_feature,packages/twenty-server (3),3,192,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/ef92d2d321f92eb202a6ec829f559adaa37c748a,yes
269,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-11,2c5af2654d,2c5af2654d2425d8ba4bf7a990bfe5afb419eeae,nitin,Separate code pathways for IS_COMMAND_MENU_ITEM_ENABLED flag (#18542),noncore_feature,packages/twenty-front (10),10,330,117,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/2c5af2654d2425d8ba4bf7a990bfe5afb419eeae,yes
270,6,Features & Enhancements,6F,Extended Features,6F-02,medium,2026-03-12,e8f8189167,e8f818916775ac4292f7ca4776aa0db98e777284,Raphaël Bosi,[COMMAND MENU ITEMS] Add engine component key (#18554),noncore_feature,"packages/twenty-server (26), packages/twenty-standard-application (22), packages/twenty-front (4), packages/twenty-sdk (3)",55,852,1147,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/e8f818916775ac4292f7ca4776aa0db98e777284,yes
271,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-12,cb3e32df86,cb3e32df8631091abbbf3ba28c6af7cba9ee42e0,Lucas Bordeau,Fix AI demo workspace skill (#18575),noncore_feature,"packages/twenty-front (7), packages/twenty-server (4), packages/twenty-shared (1)",12,263,55,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/cb3e32df8631091abbbf3ba28c6af7cba9ee42e0,yes
272,6,Features & Enhancements,6F,Extended Features,6F-02,low,2026-03-12,eb4665bc98,eb4665bc98799062f4000988f70cd860e46ed4ed,Weiko,Create missing standard table and fields widget views (#18543),noncore_feature,"packages/twenty-server (44), packages/twenty-shared (1)",45,5403,772,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/eb4665bc98799062f4000988f70cd860e46ed4ed,yes
273,6,Features & Enhancements,6F,Extended Features,6F-03,low,2026-03-13,349bfc8462,349bfc846295fd13ef55a3ab4199374e1f8caafa,Raphaël Bosi,Backfill existing workspaces with standard command menu items (#18596),noncore_feature,packages/twenty-server (3),3,166,3,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/349bfc846295fd13ef55a3ab4199374e1f8caafa,yes
274,6,Features & Enhancements,6F,Extended Features,6F-03,low,2026-03-24,e0b36c3931,e0b36c39311b44b15f9cea2a489eca3e887ef0d9,neo773,fix: ai providers json formatting (#18910),noncore_feature,packages/twenty-server (2),2,112,403,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/e0b36c39311b44b15f9cea2a489eca3e887ef0d9,yes
275,6,Features & Enhancements,6F,Extended Features,6F-03,low,2026-04-02,0b2f4cdb57,0b2f4cdb57e2831e0a592c7ccdf37ddd46190d39,Weiko,Add delete widget action in fields widget side panel (#19167),noncore_feature,packages/twenty-front (1),1,22,1,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/0b2f4cdb57e2831e0a592c7ccdf37ddd46190d39,yes
276,6,Features & Enhancements,6F,Extended Features,6F-03,low,2026-04-03,bb3d556799,bb3d556799618145e1076c77655fc7cc51743667,Félix Malfait,"Refined demo workspace creation skill (rebased, review fixes) (#19274)",noncore_feature,"packages/twenty-server (17), packages/twenty-client-sdk (3)",20,1693,364,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/bb3d556799618145e1076c77655fc7cc51743667,yes
277,6,Features & Enhancements,6F,Extended Features,6F-03,low,2026-04-07,a2188cb0eb,a2188cb0eba98428f0cd1ff47d311340d74b7d46,Weiko,Reset Fields widget implementation (#19283),noncore_feature,"packages/twenty-front (4), packages/twenty-server (4), packages/twenty-client-sdk (3)",11,528,0,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/a2188cb0eba98428f0cd1ff47d311340d74b7d46,yes
278,6,Features & Enhancements,6F,Extended Features,6F-03,medium,2026-04-07,1f3965e5f8,1f3965e5f8f6782a169021ca066c9e892e7af80f,Baptiste Devessier,Add Manage and Placement sections in widget side panel page for record page layouts (#19310),noncore_feature,"packages/twenty-front (59), packages/twenty-shared (1)",60,3365,236,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/1f3965e5f8f6782a169021ca066c9e892e7af80f,yes
279,6,Features & Enhancements,6G,Code & Build Improvements,6G-01,low,2026-03-03,b1107c823a,b1107c823a16eaee679a23a088d64956c85f1405,Etienne,Apollo enrich (#18277),improvement,"packages/twenty-apps (22), packages/twenty-front (1), packages/twenty-server (1)",24,8171,8,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/b1107c823a16eaee679a23a088d64956c85f1405,yes
280,6,Features & Enhancements,6G,Code & Build Improvements,6G-01,low,2026-03-05,1affa1e004,1affa1e004203808e42806fac705b7d1487b1b63,Charles Bochet,chore(front): remove vite-plugin-checker background TS/ESLint checks (#18437),improvement,"packages/twenty-docs (14), packages/twenty-front (3), nx.json (1)",18,5,75,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/1affa1e004203808e42806fac705b7d1487b1b63,yes
281,6,Features & Enhancements,6G,Code & Build Improvements,6G-01,low,2026-03-06,364c944ca6,364c944ca6fe66d8c15fcce9d2d7225e55c61502,Charles Bochet,Improve build performance 2x (#18449),improvement,"packages/twenty-front (6), .github (2), packages/twenty-server (1), packages/twenty-ui (1)",10,284,94,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/364c944ca6fe66d8c15fcce9d2d7225e55c61502,yes
282,6,Features & Enhancements,6G,Code & Build Improvements,6G-01,low,2026-03-11,ab5fb1f658,ab5fb1f6585d64d7d689f9e846a8ac4e62a9bce9,Baptiste Devessier,Replace newFieldDefaultConfiguration with newFieldDefaultVisibility (#18539),improvement,"packages/twenty-front (14), packages/twenty-server (6), packages/twenty-sdk (3), packages/twenty-shared (1)",24,838,1091,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/ab5fb1f6585d64d7d689f9e846a8ac4e62a9bce9,yes
283,6,Features & Enhancements,6G,Code & Build Improvements,6G-01,medium,2026-03-12,c9deab4373,c9deab4373c71c848e4f58c42769aa0612b191f7,Raphaël Bosi,[COMMAND MENU ITEMS] Remove standard front components (#18581),improvement,"packages/twenty-standard-application (163), packages/twenty-server (15), packages/twenty-front (2), packages/twenty-sdk (2)",186,475,8470,"Pull upstream features, workflow enhancements, and product improvements into Fuse.","Smoke affected UI surfaces, verify no regressions in navigation, command menu, and record views.",https://github.com/twentyhq/twenty/commit/c9deab4373c71c848e4f58c42769aa0612b191f7,yes
